family,id,source,source_line,summary,primary_task,supporting_tasks,evidence_status
REQ-SET,REQ-SET-071,docs/game_gdd.md,456,"When a sowing task begins, the system shall consume the exact seed quantity and retain completed work if the worker changes.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-072,docs/game_gdd.md,457,"While a crop is growing, the system shall integrate hourly growth using the temperature/moisture factors and retain fractional progress.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-073,docs/game_gdd.md,458,"When growth reaches the crop's duration, the system shall mark it ripe and create a priority 2 harvest job.",task03,task04;task05;task07,NOT_ASSESSED
REQ-SET,REQ-SET-074,docs/game_gdd.md,459,"When harvest completes, the system shall calculate yield from fertility, health, rotation, and pollination and apply the listed fertility change once.",task03,task08,NOT_ASSESSED
REQ-SET,REQ-SET-075,docs/game_gdd.md,460,"If a ripe crop remains unharvested beyond its grace period, then the system shall apply the specified loss and ultimately mark it withered.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-076,docs/game_gdd.md,461,"When compost is applied, the system shall consume 2 U, add 1500 fertility, and prevent repeat application until the next season.",task03,task07,NOT_ASSESSED
REQ-SET,REQ-SET-077,docs/game_gdd.md,462,"When an automated field rotation advances, the system shall choose the next explicitly configured crop and show blocked reasons if its requirements fail.",task03,task10,NOT_ASSESSED
REQ-SET,REQ-SET-078,docs/game_gdd.md,463,"While a field is fallow, the system shall restore fertility at the declared daily rate without requiring a worker.",task03,task10,NOT_ASSESSED
REQ-SET,REQ-SET-079,docs/game_gdd.md,464,"When an orchard reaches maturity, the system shall enable its next legal annual harvest without retroactively generating previous years' fruit.",task03,task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-080,docs/game_gdd.md,465,"When an orchard harvest completes, the system shall set its harvested-year flag and prohibit a second harvest that year.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-081,docs/game_gdd.md,466,"When the player plants an orchard, the system shall show the exact first eligible harvest year/day and occupied block before confirmation.",task03,task10,NOT_ASSESSED
REQ-SET,REQ-SET-082,docs/game_gdd.md,467,"While a healthy hive is within 12 m of a pollinated crop, the system shall grant the bounded one/two-hive multiplier and ignore further hives for that crop.",task03,task08,NOT_ASSESSED
REQ-SET,REQ-SET-083,docs/game_gdd.md,468,"When a hive is unserved or unfed, the system shall apply strength losses and show feed/service deficits before abandonment.",task03,task10,NOT_ASSESSED
REQ-SET,REQ-SET-084,docs/game_gdd.md,469,"When frost affects a growing crop, the system shall remove the listed health/hour while temperature<0°C, halved for cabbage in a tended plot.",task03,task06;task08,NOT_ASSESSED
REQ-SET,REQ-SET-085,docs/game_gdd.md,470,"If crop health reaches 0, then the system shall mark it withered, cancel tending/harvest, and create a 10-WU clearing job yielding compost 0.5 U/tile.",task03,task04;task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-086,docs/game_gdd.md,471,"When weather changes plot moisture, the system shall clamp moisture 0–10000 and show its growth consequence in the crop panel.",task03,task06;task10,NOT_ASSESSED
REQ-SET,REQ-SET-087,docs/game_gdd.md,472,"While a crop is within a blight event, the system shall remove 400 health/day, reduced to 200 if tended, and stop damage when the event ends.",task03,task08,NOT_ASSESSED
REQ-SET,REQ-SET-088,docs/game_gdd.md,473,"When a seed reserve is enabled, the system shall reserve enough seed for the next configured planting across designated fields before allowing seed export or nonplanting use.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-089,docs/game_gdd.md,474,"If a required seed becomes unobtainable, then the system shall expose the workbench seed-separation recipe and an emergency seed grant option defined in Section 7 instead of leaving an unexplained deadlock.",task03,task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-090,docs/game_gdd.md,535,"The system shall implement the exact recipe graph, input categories, station restrictions, work/passive durations, nutrition, and shelf lives above.",task07,task06,NOT_ASSESSED
REQ-SET,REQ-SET-091,docs/game_gdd.md,536,"When cooking starts, the system shall snapshot skill, input-lot quality/age, recipe, output capacity, and quality RNG roll so worker replacement does not reroll quality.",task07,task06;task09,NOT_ASSESSED
REQ-SET,REQ-SET-092,docs/game_gdd.md,537,"When a cooking batch completes, the system shall consume its work-in-progress record and create only the declared outputs at the computed quality.",task07,,NOT_ASSESSED
REQ-SET,REQ-SET-093,docs/game_gdd.md,538,"While a passive drying/salting/fermentation stage is active, the system shall occupy a station batch slot but release the worker for other work.",task07,task06,NOT_ASSESSED
REQ-SET,REQ-SET-094,docs/game_gdd.md,539,"If production is cancelled after input consumption, then the system shall yield 50% of food input mass as spoiled_food, rounded down to milli-U, and no finished portions.",task07,,NOT_ASSESSED
REQ-SET,REQ-SET-095,docs/game_gdd.md,540,"When a resident eats, the system shall apply portion nutrition, bounded ingredient effect, quality memory, and meal-history update once.",task07,task08,NOT_ASSESSED
REQ-SET,REQ-SET-096,docs/game_gdd.md,541,"When a recipe has been produced at GOOD or EXCELLENT quality 20 times, the system shall mark it mastered for progression without adding a hidden yield multiplier.",task07,task04,NOT_ASSESSED
REQ-SET,REQ-SET-097,docs/game_gdd.md,542,"The system shall provide ONCE, REPEAT, and MAINTAIN_STOCK production orders with an explicit target and lot-reservation accounting.",task07,task06,NOT_ASSESSED
REQ-SET,REQ-SET-098,docs/game_gdd.md,543,"While MAINTAIN_STOCK is enabled, the system shall count unreserved inventory plus committed in-progress outputs against the target before issuing another batch.",task07,task06;task10,NOT_ASSESSED
REQ-SET,REQ-SET-099,docs/game_gdd.md,544,"If a recipe lacks an input, station, worker, tool, unlock, or output space, then the system shall display that specific blocking reason and the missing quantity.",task07,task06;task10,NOT_ASSESSED
REQ-SET,REQ-SET-100,docs/game_gdd.md,545,"When a feast is planned, the system shall calculate attendee count, complete ingredient/portion requirements, seating waves, staffing, and post-feast reserves before accepting the plan.",task08,task10,NOT_ASSESSED
REQ-SET,REQ-SET-101,docs/game_gdd.md,546,"If a feast would leave fewer than 3 food-days or 3 fuel-days, then the system shall block confirmation until the player explicitly overrides the reserve warning for that feast.",task08,task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-102,docs/game_gdd.md,547,"While a feast is preparing, the system shall reserve only its declared portions and shall release them if cancelled before the serving event.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-103,docs/game_gdd.md,548,"When a ready feast begins at 18:00, the system shall serve eligible attendees over up to three one-hour waves and consume each resident's portions only on attendance.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-104,docs/game_gdd.md,549,"When at least 80% of eligible residents attend all required courses, the system shall grant the theme's settlement buff; otherwise it shall grant attendee meals/social benefits without a settlement buff.",task08,task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-105,docs/game_gdd.md,550,"While a feast buff is active, the system shall apply its declared magnitude/duration once and shall prevent a same-theme stack or duration extension.",task08,task07,NOT_ASSESSED
REQ-SET,REQ-SET-106,docs/game_gdd.md,551,"If a feast is interrupted by a critical emergency, then the system shall pause serving, retain unserved reserved portions, and cancel the remainder after 24 game hours if not resumed.",task08,task04,NOT_ASSESSED
REQ-SET,REQ-SET-107,docs/game_gdd.md,579,"The system shall store food as quality/age/provenance lots and apply effective aging without resetting freshness on transport, merge, save, or load.",task07,task06;task09,NOT_ASSESSED
REQ-SET,REQ-SET-108,docs/game_gdd.md,580,"When a food lot expires, the system shall invalidate its food reservations, create spoiled_food of equal mass, and trigger recipe/meal replanning.",task07,task06,NOT_ASSESSED
REQ-SET,REQ-SET-109,docs/game_gdd.md,581,"When selecting inventory for a recipe or meal, the system shall use first-expiring-first-out among legal lots unless the explicit meal-variety policy applies.",task07,task04;task06,NOT_ASSESSED
REQ-SET,REQ-SET-110,docs/game_gdd.md,582,"If storage capacity is insufficient, then the system shall stop new production reservations and allow existing cargo to be placed in a visible temporary ground pile at the destination.",task06,task07,NOT_ASSESSED
REQ-SET,REQ-SET-111,docs/game_gdd.md,583,"When a haul job begins, the system shall limit carried mass by the resident's species capacity and split quantity exactly without cloning lots.",task06,task04;task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-112,docs/game_gdd.md,584,"The system shall reserve output mass before production starts, counting committed outputs, queued deliveries, and current contents against capacity.",task06,task04;task07,NOT_ASSESSED
REQ-SET,REQ-SET-113,docs/game_gdd.md,585,"While food-days are below 2, the system shall raise food acquisition, cooking, and required hauling into emergency urgency bucket 2 without overriding forbidden or hazardous occupations.",task07,task06;task10,NOT_ASSESSED
REQ-SET,REQ-SET-114,docs/game_gdd.md,586,"When the next season is winter, the system shall display a twelve-day winter food/fuel projection using winter demand and current edible/preservable stocks separately.",task07,task10,NOT_ASSESSED
REQ-SET,REQ-SET-115,docs/game_gdd.md,587,"When food is allocated to a future transfer manifest, the system shall remove that quantity from available settlement reserves while retaining it in total-owned inventory.",task06,task07,NOT_ASSESSED
REQ-SET,REQ-SET-116,docs/game_gdd.md,588,"If a reserved lot is destroyed or becomes unreachable, then the system shall invalidate dependent jobs in stable job-ID order, release unaffected reservations, and show the broken dependency.",task06,task04;task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-117,docs/game_gdd.md,589,"The system shall allow pantry/store filters and minimum reserves per item, with emergency meal access overriding ordinary production minimums but never seed classification.",task07,task03,NOT_ASSESSED
REQ-SET,REQ-SET-118,docs/game_gdd.md,590,"When a recipe's consumed inputs become work-in-progress, the system shall remove them from edible inventories and exclude them from meal availability until valid output exists.",task07,,NOT_ASSESSED
REQ-SET,REQ-SET-119,docs/game_gdd.md,591,"The system shall recompute ready food-days, potential food, fuel-days, and projected shortage dates every game hour and on committed stock/policy changes.",task07,task04,NOT_ASSESSED
REQ-SET,REQ-SET-120,docs/game_gdd.md,592,"If the lot or reservation cap is reached, then the system shall merge eligible lots and refuse new nonessential orders with a diagnostic; it shall not delete existing resources.",task06,task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-121,docs/game_gdd.md,676,"The system shall implement the building/furniture catalog with listed costs, work, capacities, unlocks, and exterior/interior representations.",task06,task10,NOT_ASSESSED
REQ-SET,REQ-SET-122,docs/game_gdd.md,677,"When placing a building, the system shall require in-bounds nonoverlapping tiles, slope≤8°, height spread≤0.5 m, an accessible door, and its terrain-specific conditions.",task06,task10,NOT_ASSESSED
REQ-SET,REQ-SET-123,docs/game_gdd.md,678,"If a placement would sever the last path from any occupied home/workplace to the central hall, then the system shall reject it and highlight the cut route.",task06,task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-124,docs/game_gdd.md,679,"When a blueprint is placed, the system shall create material-delivery and construction work without deducting undelivered materials from physical stores.",task06,,NOT_ASSESSED
REQ-SET,REQ-SET-125,docs/game_gdd.md,680,"When delivered materials are complete, the system shall enable build work and consume those materials into the project as progress begins.",task06,task10,NOT_ASSESSED
REQ-SET,REQ-SET-126,docs/game_gdd.md,681,"If a blueprint is cancelled before work begins, then the system shall return 100% of delivered materials as reachable ground lots; after work begins it shall return 80% of delivered materials, rounded down to milli-U.",task06,task05,NOT_ASSESSED
REQ-SET,REQ-SET-127,docs/game_gdd.md,682,"When an active building is demolished, the system shall first evacuate residents and move stored goods, then return 50% original material costs after the declared construction WU×0.25 demolition work.",task06,task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-128,docs/game_gdd.md,683,"If goods or residents cannot be evacuated, then the system shall block demolition and show the exact stranded occupants/lots.",task06,task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-129,docs/game_gdd.md,684,"When a room/furniture layout changes, the system shall flood-fill room/access tiles and suspend services from invalid rooms without deleting beds, goods, or residents.",task06,task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-130,docs/game_gdd.md,685,"While a room is heated, the system shall consume fuel proportionally over game hours and maintain 18°C indoors at tier 1 or 20°C at tier 2.",task06,task07,NOT_ASSESSED
REQ-SET,REQ-SET-131,docs/game_gdd.md,686,"If a hearth runs out of fuel, then the system shall converge room temperature halfway toward outside temperature each game hour and create an urgent refuel job.",task06,task04;task07,NOT_ASSESSED
REQ-SET,REQ-SET-132,docs/game_gdd.md,687,"When allocating beds, the system shall prefer the resident's current valid bed, then the nearest free permitted bed, ties building ID/furniture ID.",task06,task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-133,docs/game_gdd.md,688,"If no bed is available, then the system shall assign safe floor sleep in a reachable heated hall and issue a housing deficit alert.",task06,task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-134,docs/game_gdd.md,689,"When a kitchen door is within 8 m walking distance of a pantry/store access point, the system shall reduce hauling work for that connection by 10%, without changing ingredient quantities.",task06,,NOT_ASSESSED
REQ-SET,REQ-SET-135,docs/game_gdd.md,690,"Where a valid dining/common room is within 12 m walking distance of a kitchen, the system shall add comfort 200 per served meal and show the adjacency bonus.",task06,task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-136,docs/game_gdd.md,691,"When a tier 1 residence/hall/store/workshop is upgraded, the system shall apply the exact upgrade package below without multiplying previous upgrades recursively.",task06,,NOT_ASSESSED
REQ-SET,REQ-SET-137,docs/game_gdd.md,692,"While construction or demolition is paused by the player, the system shall retain delivered materials/progress and release workers and unfinished ingredient leases.",task06,task04,NOT_ASSESSED
REQ-SET,REQ-SET-138,docs/game_gdd.md,693,"When a tree is felled, the system shall debit its wood once and leave a dated stump for permitted regrowth.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-139,docs/game_gdd.md,694,"When a renewable bedrock quarry is used, the system shall generate only its declared work output and shall never require a tool material available exclusively from that same unavailable tool.",task03,task06;task10,NOT_ASSESSED
REQ-SET,REQ-SET-140,docs/game_gdd.md,695,"The system shall implement fences, walls, and lookouts solely as access, wildlife, and risk-management structures in settlement release 1, with no attack commands.",task06,task04,NOT_ASSESSED
REQ-SET,REQ-SET-141,docs/game_gdd.md,732,"The system shall advance seasons by local day and apply all stock, crop, daylight, hunger, storage, and heating changes at the exact boundary.",task03,task06;task07,NOT_ASSESSED
REQ-SET,REQ-SET-142,docs/game_gdd.md,733,"When a major event is scheduled, the system shall disclose its start, duration, and affected systems three days in advance and retain that forecast in the calendar.",task03,task04;task07,NOT_ASSESSED
